words,syllables,sentences,letters,avg_word_len,avg_word_syl,avg_sent_len,level
89,194,16,466,5.236,2.18,5.562,beginner
242,551,22,1292,5.339,2.277,11.0,beginner
206,461,21,1027,4.985,2.238,9.81,beginner
154,359,15,848,5.506,2.331,10.267,beginner
210,456,19,1070,5.095,2.171,11.053,beginner
173,345,17,805,4.653,1.994,10.176,beginner
125,270,20,622,4.976,2.16,6.25,beginner
261,545,36,1275,4.885,2.088,7.25,beginner
299,620,47,1449,4.846,2.074,6.362,beginner
346,765,42,1721,4.974,2.211,8.238,beginner
248,543,29,1229,4.956,2.19,8.552,beginner
206,426,32,1008,4.893,2.068,6.438,beginner
208,351,21,813,3.909,1.688,9.905,beginner
291,609,39,1387,4.766,2.093,7.462,beginner
367,717,52,1594,4.343,1.954,7.058,beginner
296,662,31,1504,5.081,2.236,9.548,beginner
302,599,23,1358,4.497,1.983,13.13,beginner
352,700,42,1639,4.656,1.989,8.381,beginner
336,711,23,1593,4.741,2.116,14.609,beginner
283,636,50,1515,5.353,2.247,5.66,beginner
171,439,19,1002,5.86,2.567,9.0,beginner
128,310,20,723,5.648,2.336,6.4,intermediate
251,643,31,1511,6.02,2.336,8.097,intermediate
147,394,15,944,6.422,2.336,9.8,intermediate
151,376,20,921,6.099,2.336,7.55,intermediate
221,500,29,1178,5.33,2.336,7.621,intermediate
202,502,28,1187,5.876,2.336,7.214,intermediate
160,434,19,1031,6.444,2.336,8.421,intermediate
251,605,28,1457,5.805,2.336,8.964,intermediate
106,284,8,655,6.179,2.336,13.25,intermediate
274,617,24,1474,5.38,2.336,11.417,intermediate
196,567,21,1329,6.781,2.336,9.333,intermediate
253,643,28,1484,5.866,2.336,9.036,intermediate
169,433,21,1027,6.077,2.336,8.048,intermediate
198,513,20,1201,6.066,2.336,9.9,intermediate
193,473,22,1140,5.907,2.336,8.773,intermediate
239,593,24,1416,5.925,2.336,9.958,intermediate
269,709,28,1677,6.234,2.336,9.607,intermediate
194,473,18,1095,5.644,2.336,10.778,intermediate
117,300,12,676,5.778,2.336,9.75,intermediate
226,568,25,1349,5.969,2.336,9.04,intermediate
243,601,31,1420,5.844,2.336,7.839,intermediate
176,471,22,1078,6.125,2.336,8.0,intermediate
164,412,18,945,5.762,2.336,9.111,intermediate
120,320,14,766,6.383,2.336,8.571,intermediate
185,407,34,939,5.076,2.336,5.441,intermediate
121,332,14,792,6.545,2.336,8.643,intermediate
241,579,28,1341,5.564,2.336,8.607,intermediate
221,480,30,1148,5.195,2.336,7.367,intermediate
161,415,19,975,6.056,2.336,8.474,intermediate
249,541,27,1297,5.209,2.336,9.222,intermediate
172,426,21,995,5.785,2.336,8.19,intermediate
187,483,23,1121,5.995,2.336,8.13,intermediate
123,311,13,757,6.154,2.336,9.462,intermediate
217,535,23,1278,5.889,2.336,9.435,intermediate
202,568,19,1365,6.757,2.336,10.632,intermediate
203,505,26,1183,5.828,2.336,7.808,intermediate
224,512,26,1217,5.433,2.336,8.615,intermediate
139,361,22,888,6.388,2.336,6.318,intermediate
180,476,21,1143,6.35,2.336,8.571,intermediate
171,420,18,1007,5.889,2.336,9.5,intermediate
178,436,21,1036,5.82,2.336,8.476,intermediate
201,531,28,1247,6.204,2.336,7.179,intermediate
211,482,23,1136,5.384,2.336,9.174,intermediate
371,913,47,2198,5.925,2.336,7.894,intermediate
301,697,33,1689,5.611,2.336,9.121,intermediate
226,568,32,1358,6.009,2.336,7.062,intermediate
265,673,27,1562,5.894,2.336,9.815,intermediate
337,822,37,1942,5.763,2.336,9.108,intermediate
232,591,26,1418,6.112,2.336,8.923,intermediate
282,722,36,1728,6.128,2.336,7.833,intermediate
444,1163,48,2745,6.182,2.336,9.25,intermediate
121,298,17,718,5.934,2.336,7.118,intermediate
246,634,26,1587,6.451,2.336,9.462,intermediate
319,781,33,1876,5.881,2.336,9.667,intermediate
228,583,30,1351,5.925,2.336,7.6,intermediate
287,709,40,1690,5.889,2.336,7.175,intermediate
258,674,27,1592,6.171,2.336,9.556,intermediate
363,916,42,2186,6.022,2.336,8.643,intermediate
164,400,18,925,5.64,2.336,9.111,intermediate
179,470,21,1121,6.263,2.336,8.524,intermediate
266,680,31,1550,5.827,2.336,8.581,intermediate
433,1074,42,2598,6.0,2.336,10.31,intermediate
337,781,37,1851,5.493,2.336,9.108,intermediate
271,636,32,1504,5.55,2.336,8.469,intermediate
294,702,34,1594,5.422,2.336,8.647,intermediate
289,738,33,1762,6.097,2.336,8.758,intermediate
280,768,37,1752,6.257,2.336,7.568,intermediate
340,907,39,2146,6.312,2.336,8.718,intermediate
301,785,34,1807,6.003,2.336,8.853,intermediate
435,1157,51,2710,6.23,2.336,8.529,intermediate
286,804,34,1907,6.668,2.336,8.412,intermediate
361,957,38,2275,6.302,2.336,9.5,intermediate
376,997,42,2308,6.138,2.336,8.952,intermediate
270,676,38,1592,5.896,2.336,7.105,intermediate
236,653,29,1512,6.407,2.336,8.138,intermediate
193,420,35,943,4.886,2.336,5.514,intermediate
181,407,23,970,5.359,2.336,7.87,intermediate
203,466,25,1143,5.631,2.336,8.12,intermediate
291,586,46,1386,4.763,2.336,6.326,intermediate
219,468,25,1091,4.982,2.336,8.76,intermediate
256,540,28,1301,5.082,2.336,9.143,intermediate
202,460,31,1127,5.579,2.336,6.516,intermediate
302,640,40,1525,5.05,2.336,7.55,intermediate
282,596,40,1403,4.975,2.336,7.05,intermediate
268,600,29,1409,5.257,2.336,9.241,intermediate
302,655,47,1568,5.192,2.336,6.426,intermediate
331,726,55,1742,5.263,2.336,6.018,intermediate
279,545,37,1256,4.502,2.336,7.541,intermediate
256,549,35,1255,4.902,2.336,7.314,intermediate
318,688,27,1601,5.035,2.336,11.778,intermediate
229,496,32,1140,4.978,2.336,7.156,intermediate
291,635,26,1453,4.993,2.336,11.192,intermediate
318,725,47,1732,5.447,2.336,6.766,intermediate
238,469,42,1066,4.479,2.336,5.667,intermediate
179,382,30,882,4.927,2.336,5.967,intermediate
224,476,23,1139,5.085,2.336,9.739,intermediate
293,610,26,1384,4.724,2.336,11.269,intermediate
425,860,49,2008,4.725,2.336,8.673,intermediate
237,511,35,1176,4.962,2.336,6.771,intermediate
199,460,23,1108,5.568,2.336,8.652,intermediate
246,542,23,1296,5.268,2.336,10.696,intermediate
284,606,33,1456,5.127,2.336,8.606,intermediate
639,1525,59,3500,5.477,2.336,10.831,intermediate
314,665,45,1581,5.035,2.336,6.978,intermediate
231,493,34,1177,5.095,2.336,6.794,intermediate
186,376,37,878,4.72,2.336,5.027,intermediate
195,407,34,945,4.846,2.336,5.735,intermediate
247,598,22,1395,5.648,2.336,11.227,intermediate
267,566,32,1346,5.041,2.336,8.344,intermediate
297,570,39,1418,4.774,2.336,7.615,intermediate
228,523,34,1236,5.421,2.336,6.706,intermediate
265,676,33,1526,5.758,2.336,8.03,intermediate
250,570,43,1341,5.364,2.336,5.814,intermediate
278,625,44,1473,5.299,2.336,6.318,intermediate
163,330,24,783,4.804,2.336,6.792,intermediate
264,592,36,1359,5.148,2.336,7.333,intermediate
380,805,35,1853,4.876,2.336,10.857,intermediate
180,398,26,902,5.011,2.336,6.923,intermediate
307,618,36,1394,4.541,2.336,8.528,intermediate
184,408,29,940,5.109,2.336,6.345,intermediate
139,281,18,715,5.144,2.336,7.722,intermediate
145,269,23,625,4.31,2.336,6.304,intermediate
232,554,23,1289,5.556,2.336,10.087,intermediate
384,793,59,1826,4.755,2.336,6.508,intermediate
378,836,36,1962,5.19,2.336,10.5,intermediate
223,400,28,936,4.197,2.336,7.964,intermediate
554,1173,57,2632,4.751,2.336,9.719,intermediate
320,562,30,1298,4.056,2.336,10.667,intermediate
312,687,36,1615,5.176,2.336,8.667,intermediate
387,777,50,1819,4.7,2.336,7.74,intermediate
505,981,46,2281,4.517,2.336,10.978,intermediate
183,364,21,846,4.623,2.336,8.714,intermediate
633,1320,72,3027,4.782,2.336,8.792,intermediate
211,431,22,1012,4.796,2.336,9.591,intermediate
305,676,43,1602,5.252,2.336,7.093,intermediate
121,265,16,623,5.149,2.336,7.562,intermediate
176,350,16,852,4.841,2.336,11.0,intermediate
195,385,25,921,4.723,2.336,7.8,intermediate
148,277,17,673,4.547,2.336,8.706,intermediate
419,919,46,2100,5.012,2.336,9.109,intermediate
209,507,37,1192,5.703,2.336,5.649,intermediate
530,1108,86,2493,4.704,2.336,6.163,intermediate
323,688,57,1576,4.879,2.336,5.667,intermediate
188,489,19,1124,5.979,2.336,9.895,intermediate
420,817,54,1882,4.481,2.336,7.778,intermediate
364,735,48,1718,4.72,2.336,7.583,intermediate
153,350,22,805,5.261,2.336,6.955,intermediate
177,426,14,982,5.548,2.336,12.643,intermediate
356,821,27,1873,5.261,2.336,13.185,intermediate
204,488,19,1139,5.583,2.336,10.737,intermediate
167,433,16,1031,6.174,2.138,10.438,upper_intermediate
220,540,25,1259,5.723,2.138,8.8,upper_intermediate
331,779,41,1849,5.586,2.138,8.073,upper_intermediate
184,446,19,1052,5.717,2.138,9.684,upper_intermediate
386,926,47,2159,5.593,2.138,8.213,upper_intermediate
408,873,32,2022,4.956,2.138,12.75,upper_intermediate
511,928,36,2243,4.389,2.138,14.194,upper_intermediate
378,748,37,1727,4.569,2.138,10.216,upper_intermediate
449,952,35,2195,4.889,2.138,12.829,upper_intermediate
213,471,15,1082,5.08,2.138,14.2,upper_intermediate
342,743,29,1682,4.918,2.138,11.793,upper_intermediate
335,680,30,1526,4.555,2.138,11.167,upper_intermediate
365,699,32,1540,4.219,2.138,11.406,upper_intermediate
448,851,40,1930,4.308,2.138,11.2,upper_intermediate
573,1146,56,2581,4.504,2.138,10.232,upper_intermediate
252,535,13,1231,4.885,2.138,19.385,upper_intermediate
349,679,28,1561,4.473,2.138,12.464,upper_intermediate
352,762,34,1738,4.938,2.138,10.353,upper_intermediate
400,812,37,1921,4.802,2.138,10.811,upper_intermediate
340,559,37,1290,3.794,2.138,9.189,upper_intermediate
450,826,29,1938,4.307,2.138,15.517,upper_intermediate
554,1000,38,2369,4.276,2.138,14.579,upper_intermediate
453,829,51,1980,4.371,2.138,8.882,upper_intermediate
225,462,23,1047,4.653,2.138,9.783,upper_intermediate
322,688,29,1547,4.804,2.138,11.103,upper_intermediate
198,445,14,1049,5.298,2.138,14.143,upper_intermediate
426,894,34,2101,4.932,2.138,12.529,upper_intermediate
159,316,17,722,4.541,2.138,9.353,upper_intermediate
360,633,58,1460,4.056,2.138,6.207,upper_intermediate
592,1176,45,2703,4.566,2.138,13.156,upper_intermediate
407,855,51,1933,4.749,2.138,7.98,upper_intermediate
355,734,34,1678,4.727,2.138,10.441,upper_intermediate
1343,2731,140,6262,4.663,2.138,9.593,upper_intermediate
252,542,35,1262,5.008,2.138,7.2,upper_intermediate
407,901,41,2090,5.135,2.138,9.927,upper_intermediate
435,912,45,2062,4.74,2.138,9.667,upper_intermediate
479,987,39,2188,4.568,2.138,12.282,upper_intermediate
357,807,34,1831,5.129,2.138,10.5,upper_intermediate
393,800,23,1833,4.664,2.138,17.087,upper_intermediate
417,936,46,2198,5.271,2.138,9.065,upper_intermediate
